Date,open,high,low,close,volume,unknown
2023-12-29,1101.45,1106.85,1093.95,1102.3,8786731,0
2023-12-28,1107.25,1113,1098,1107.85,14097667,0
2023-12-27,1096.05,1110.55,1089.65,1106.35,6132936,0
2023-12-26,1091.2,1100.65,1086.7,1094.25,5687517,0
2023-12-22,1095.4,1106.3,1085.8,1088.3,10600025,0
2023-12-21,1103.9,1103.9,1077.2,1095.4,10914682,0
2023-12-20,1122,1123.85,1102.7,1110.25,9848057,0
2023-12-19,1123.8,1126.85,1114.2,1120.25,6824641,0
2023-12-18,1119.7,1120,1107.2,1111.35,7922468,0
2023-12-15,1119.2,1127.85,1108.6,1120.35,12048410,0
2023-12-14,1132.4,1138.6,1117.9,1120.45,9421193,0
2023-12-13,1150,1151,1111.45,1114.85,8184523,0
2023-12-12,1120,1133.9,1109,1131,9044111,0
2023-12-11,1129,1139.4,1113.85,1116.5,6924589,0
2023-12-08,1115.85,1134.35,1111.5,1131.2,7300989,0
2023-12-07,1119.25,1129.6,1108.5,1117.85,6439419,0
2023-12-06,1135.1,1145.7,1117.95,1120.5,7342767,0
2023-12-05,1136.8,1151.85,1127.15,1132.45,15804808,0
2023-12-04,1120.5,1129,1099.1,1125.6,14043213,0
2023-12-01,1075.4,1109,1070.2,1104.65,14428758,0
2023-11-30,1062.7,1080.9,1055.45,1074.25,24755589,0
2023-11-29,1027.15,1063.5,1021.15,1060.15,9422396,0
2023-11-28,1013.05,1021.95,1009.25,1021.15,6173384,0
2023-11-24,1002,1010.75,999.7,1008.5,6956281,0
2023-11-23,999,1003.4,995.4,999.05,3112891,0
2023-11-22,991,999.9,988,998.1,6103988,0
2023-11-21,989.95,997.5,986.65,991.8,7061614,0
2023-11-20,981,994.75,980.35,988.7,8215656,0
2023-11-17,1014.9,1020,991.85,994.35,13268353,0
2023-11-16,1042.8,1044,1022.15,1026.35,6908825,0
2023-11-15,1045,1045,1031.55,1041.35,7240388,0
2023-11-13,1030.05,1031.85,1023.5,1025.35,5985481,0
2023-11-12,1033.9,1033.9,1026.25,1029.95,461834,0
2023-11-10,1017.9,1031,1016.65,1029.2,3294063,0
2023-11-09,1024.75,1028.85,1016.65,1021.9,4407935,0
2023-11-08,1024,1026.95,1015.6,1021.7,7643314,0
2023-11-07,1008,1022.2,1005.25,1020.9,6559859,0
2023-11-06,995,1016.2,993.1,1009.4,6552178,0
2023-11-03,986,991.4,981.5,988.85,4268048,0
2023-11-02,978,988.35,974,982.95,5193982,0
2023-11-01,977.85,979.3,968,971.8,5703984,0
2023-10-31,998,998,978,981.85,7816805,0
2023-10-30,1002.75,1002.75,979.2,989.2,5270567,0
2023-10-27,980,1004.75,973.3,1002.75,13443016,0
2023-10-26,956,975,952.75,972.05,17540495,0
2023-10-25,960,974,951.4,955.45,6957048,0
2023-10-23,980,984.9,961.1,964.3,5896695,0
2023-10-20,989,992.9,977.75,980.35,5664400,0
2023-10-19,979.7,999,979.7,991.4,4836625,0
2023-10-18,1010,1014.1,989.35,992.85,7818946,0
2023-10-17,1008.85,1014.7,1003.1,1008.05,6105067,0
2023-10-16,990,1009.45,990,1004.8,4646960,0
2023-10-13,1009,1011.45,992.25,994.05,12173162,0
2023-10-12,1022,1031,1014.95,1018.45,4920222,0
2023-10-11,1019,1025.65,1012,1019.1,7396783,0
2023-10-10,999.9,1014.95,996.5,1012.25,5728499,0
