,Date,open,high,low,close,volume,unknown,predicted_open,predicted_high,predicted_low,predicted_close
0,2007-01-02,49.0,49.0,48.02,48.4,720825,0,0.0,0.0,0.0,0.0
1,2007-01-03,48.8,50.0,48.41,49.46,3195200,0,0.0,0.0,0.0,0.0
2,2007-01-04,51.1,51.1,48.4,48.92,2028335,0,0.0,0.0,0.0,0.0
3,2007-01-05,49.0,49.0,48.12,48.35,647880,0,0.0,0.0,0.0,0.0
4,2007-01-08,49.69,49.69,47.22,47.49,2052730,0,0.0,0.0,0.0,0.0
5,2007-01-09,47.7,48.28,45.42,45.7,3100170,0,0.0,0.0,0.0,0.0
6,2007-01-10,45.76,45.9,44.82,45.27,2189070,0,0.0,0.0,0.0,0.0
7,2007-01-11,45.88,45.98,44.6,45.11,4017580,0,0.0,0.0,0.0,0.0
8,2007-01-12,46.17,48.74,46.17,48.11,3791230,0,0.0,0.0,0.0,0.0
9,2007-01-15,48.8,49.0,47.84,47.97,2481155,0,0.0,0.0,0.0,0.0
10,2007-01-16,49.0,49.0,46.49,47.68,2531035,0,0.0,0.0,0.0,0.0
11,2007-01-17,47.68,48.19,47.45,47.62,1078210,0,0.0,0.0,0.0,0.0
12,2007-01-18,47.8,48.5,47.02,47.36,3027905,0,0.0,0.0,0.0,0.0
13,2007-01-19,47.8,47.8,46.42,47.09,2839560,0,0.0,0.0,0.0,0.0
14,2007-01-22,47.38,47.48,46.62,46.79,3864155,0,0.0,0.0,0.0,0.0
15,2007-01-23,47.6,47.6,46.42,47.02,4432370,0,0.0,0.0,0.0,0.0
16,2007-01-24,47.78,49.6,46.62,49.19,6435375,0,0.0,0.0,0.0,0.0
17,2007-01-25,49.8,51.78,49.21,51.22,6314390,0,0.0,0.0,0.0,0.0
18,2007-01-29,50.98,51.0,49.02,49.45,1855330,0,0.0,0.0,0.0,0.0
19,2007-01-31,48.8,52.0,48.54,49.98,4516065,0,0.0,0.0,0.0,0.0
20,2007-02-01,50.0,51.38,48.62,50.99,3765750,0,0.0,0.0,0.0,0.0
21,2007-02-02,51.6,51.6,49.39,49.52,3369495,0,0.0,0.0,0.0,0.0
22,2007-02-05,49.96,50.41,49.2,49.41,1429640,0,0.0,0.0,0.0,0.0
23,2007-02-06,49.68,50.2,49.4,49.62,3281650,0,0.0,0.0,0.0,0.0
24,2007-02-07,50.0,50.0,49.22,49.56,2604690,0,0.0,0.0,0.0,0.0
25,2007-02-08,49.6,49.84,48.02,48.3,1447665,0,0.0,0.0,0.0,0.0
26,2007-02-09,48.8,49.0,47.11,47.83,1843305,0,0.0,0.0,0.0,0.0
27,2007-02-12,47.0,47.58,46.02,47.07,2358035,0,0.0,0.0,0.0,0.0
28,2007-02-13,48.0,48.0,46.4,46.86,2433245,0,0.0,0.0,0.0,0.0
29,2007-02-14,45.66,46.0,43.64,45.44,4428695,0,0.0,0.0,0.0,0.0
30,2007-02-15,46.2,47.9,45.92,46.42,3999575,0,0.0,0.0,0.0,0.0
31,2007-02-19,48.98,48.98,43.0,45.38,2316380,0,46.99034118652344,47.30183029174805,45.47500991821289,46.45148468017578
32,2007-02-20,45.4,45.58,44.6,45.21,1668710,0,46.351173400878906,46.99372863769531,45.000099182128906,46.05221176147461
33,2007-02-21,45.26,45.54,44.8,45.12,2341255,0,46.57179260253906,47.2740478515625,44.36564636230469,45.71381759643555
34,2007-02-22,44.44,45.75,42.8,43.27,5139210,0,46.487998962402344,47.09529113769531,44.0554084777832,45.42152404785156
35,2007-02-23,43.4,44.18,42.2,42.58,2307250,0,46.11152267456055,46.5987548828125,44.07758331298828,45.19810104370117
36,2007-02-26,44.18,44.18,42.6,43.67,1195570,0,45.50934600830078,46.11738204956055,43.84471893310547,44.680511474609375
37,2007-02-27,46.98,46.98,43.22,44.75,2371960,0,44.719818115234375,45.4625129699707,43.34352111816406,43.944786071777344
38,2007-02-28,43.0,44.6,41.22,43.85,1976285,0,44.17782974243164,44.836788177490234,42.89988708496094,43.48825454711914
39,2007-03-01,42.32,44.82,42.32,44.53,1161245,0,44.50920104980469,44.95149612426758,42.74296569824219,43.542320251464844
40,2007-03-02,45.18,45.18,42.62,42.89,2759020,0,44.437503814697266,45.005950927734375,42.37217330932617,43.67912673950195
41,2007-03-05,42.0,42.4,40.89,41.16,2204525,0,43.885528564453125,44.96045684814453,42.134063720703125,43.90821838378906
42,2007-03-06,42.38,42.38,39.71,40.14,2716075,0,43.80110168457031,44.94165802001953,42.11141586303711,43.798973083496094
43,2007-03-07,41.16,41.28,37.7,38.07,4329905,0,43.41559600830078,44.38677215576172,41.8510856628418,43.137325286865234
44,2007-03-08,38.4,41.97,38.0,41.35,3007955,0,42.94420623779297,43.60776138305664,41.22858428955078,42.108726501464844
45,2007-03-09,41.58,42.72,39.8,40.04,3175590,0,42.30479431152344,42.698238372802734,40.13777542114258,40.725948333740234
46,2007-03-12,41.2,41.68,40.03,40.98,2769505,0,41.145973205566406,42.06039810180664,39.09248733520508,40.10020446777344
47,2007-03-13,41.2,41.68,40.45,41.05,1442825,0,40.57735824584961,41.88591766357422,38.70598220825195,39.85810470581055
48,2007-03-14,40.62,40.62,38.63,39.87,1397880,0,40.477210998535156,41.79389572143555,38.84520721435547,39.99140548706055
49,2007-03-15,40.78,40.8,39.0,39.29,2741215,0,40.61167526245117,41.71308517456055,39.28225326538086,40.298805236816406
50,2007-03-16,39.06,41.6,38.0,38.6,3246630,0,40.68732833862305,41.43619155883789,39.38484191894531,40.371822357177734
51,2007-03-19,38.75,39.3,38.43,38.98,2206250,0,40.7119255065918,41.12644958496094,39.29082489013672,40.14460372924805
52,2007-03-20,39.4,40.57,39.2,39.94,2620095,0,40.358604431152344,41.03862380981445,38.93455123901367,39.66765594482422
53,2007-03-21,41.78,42.96,39.4,42.58,4811775,0,39.7851448059082,40.65684127807617,38.59245300292969,39.238555908203125
54,2007-03-22,43.38,45.88,43.05,45.35,5638345,0,39.36708450317383,40.384342193603516,38.508941650390625,39.13927459716797
55,2007-03-23,44.8,45.58,43.83,44.11,3029140,0,39.62926483154297,40.73807144165039,38.63613510131836,39.770729064941406
56,2007-03-26,44.54,45.2,43.13,43.33,2260740,0,40.55980682373047,41.9737434387207,39.557960510253906,41.23820877075195
57,2007-03-28,42.8,43.78,41.3,43.1,3905535,0,41.91518783569336,43.372013092041016,40.91999435424805,42.59212112426758
58,2007-03-29,42.8,43.11,41.6,42.57,8514735,0,43.11198806762695,44.386871337890625,42.02744674682617,43.32157516479492
59,2007-03-30,43.34,43.76,42.4,43.01,5438765,0,43.53656005859375,44.63325119018555,42.306034088134766,43.468318939208984
60,2007-04-02,39.0,41.0,37.17,40.29,3339845,0,43.40322494506836,44.2537956237793,42.09733200073242,43.185909271240234
61,2007-04-03,40.38,41.32,39.6,40.42,2467970,0,43.153656005859375,43.78678894042969,41.892513275146484,42.85106658935547
62,2007-04-04,40.3,41.58,40.3,40.85,1970915,0,42.057044982910156,42.882808685302734,40.727088928222656,42.05780792236328
63,2007-04-05,41.01,43.3,40.44,42.76,4065705,0,40.97138595581055,41.97343063354492,39.70840835571289,41.18141555786133
64,2007-04-09,43.0,45.22,42.86,45.05,4944785,0,40.21433639526367,41.361419677734375,39.259029388427734,40.58540344238281
65,2007-04-10,45.4,45.58,43.65,44.32,4238735,0,39.965904235839844,41.40862274169922,39.269996643066406,40.682498931884766
66,2007-04-11,44.0,44.96,43.7,44.32,1561155,0,40.45320510864258,42.21063995361328,39.98752975463867,41.622108459472656
67,2007-04-12,44.01,44.5,42.82,43.93,1464710,0,41.73202133178711,43.318092346191406,41.10999298095703,42.67117691040039
68,2007-04-13,44.8,46.08,42.0,45.41,3074555,0,42.86600875854492,44.17188262939453,42.17869186401367,43.46870040893555
69,2007-04-16,45.7,46.39,45.7,46.16,1574185,0,43.57449722290039,44.558555603027344,42.75895690917969,43.85208511352539
70,2007-04-17,46.25,47.5,45.6,47.01,3055830,0,44.049156188964844,44.924476623535156,42.7485237121582,44.22843551635742
71,2007-04-18,47.95,48.36,46.4,46.78,2503545,0,44.513526916503906,45.3189697265625,43.19427490234375,44.723331451416016
72,2007-04-19,44.0,47.6,44.0,46.5,2309765,0,45.00849533081055,45.87198257446289,43.87636947631836,45.3574104309082
73,2007-04-20,46.6,47.38,45.52,46.07,1563475,0,45.76765823364258,46.575706481933594,44.66242980957031,45.87620544433594
74,2007-04-23,46.48,46.6,45.0,45.08,1677995,0,45.67932891845703,47.04174041748047,44.806541442871094,46.13364791870117
75,2007-04-24,44.44,48.2,44.02,47.92,6538975,0,45.604698181152344,47.193382263183594,44.829002380371094,46.09770965576172
76,2007-04-25,48.56,49.59,48.0,49.3,3005150,0,45.63328552246094,46.98539733886719,44.74214553833008,45.71622085571289
77,2007-04-26,49.6,50.14,48.9,49.16,3045820,0,45.28558349609375,46.97418975830078,44.416358947753906,45.83202362060547
78,2007-04-27,49.38,49.9,48.24,48.69,2248080,0,45.647579193115234,47.42362594604492,44.86854934692383,46.56454086303711
79,2007-04-30,49.6,49.6,42.3,47.2,1950960,0,46.64098358154297,48.15513229370117,45.9278450012207,47.433753967285156
80,2007-05-03,47.0,49.3,45.0,49.07,1739355,0,47.67680740356445,48.79939651489258,46.898773193359375,48.028656005859375
81,2007-05-04,49.6,49.6,48.32,48.86,1344890,0,48.48701095581055,49.15675354003906,46.26375961303711,47.997989654541016
82,2007-05-07,48.82,49.55,47.76,48.12,1358765,0,48.41387176513672,49.21148681640625,45.38572692871094,48.024566650390625
83,2007-05-08,46.07,48.6,46.07,47.47,1690000,0,48.4134635925293,49.17074203491211,45.453857421875,48.1138801574707
84,2007-05-09,54.2,54.2,47.0,48.72,1343525,0,48.393306732177734,49.10914993286133,45.994747161865234,48.05830764770508
85,2007-05-10,49.74,51.78,48.6,50.2,5310920,0,47.76008605957031,48.86063003540039,46.23360061645508,47.784446716308594
86,2007-05-11,49.6,52.2,48.44,51.71,5206430,0,48.66866683959961,49.753971099853516,46.38429641723633,47.724708557128906
87,2007-05-14,53.16,54.42,52.4,54.02,4013350,0,49.4154052734375,50.659812927246094,46.833412170410156,48.15397262573242
88,2007-05-15,54.76,55.78,53.02,54.9,4481805,0,49.68395233154297,51.32808303833008,47.344871520996094,49.09067916870117
89,2007-05-16,55.3,55.8,54.64,55.35,3246355,0,50.41427993774414,52.18986129760742,48.60497283935547,50.57932662963867
90,2007-05-17,55.2,57.5,54.91,57.17,4966360,0,51.67871856689453,53.307861328125,50.17734909057617,52.215614318847656
91,2007-05-18,58.0,58.0,55.6,56.31,3760640,0,53.04866409301758,54.31095886230469,51.858665466308594,53.6110725402832
